tipo_de_dado;sitio;lat_dd;lon_dd;datum;precisao;Data;Periodo;posicao;amb;trans_n;prof_max;prof_min;temp_c;visi_vert;visi_hor;cat_tax;Grupo;Reino;Táxon;abund;sample_config;area_m2
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;1;12;6;23.5;8;9;Species;Ouriço;Animal;Eucidaris tribuloides;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;2;12;6;23.5;8;9;Species;Ouriço;Animal;Eucidaris tribuloides;2;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;3;12;6;23.5;8;9;Species;Ouriço;Animal;Eucidaris tribuloides;1;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;1;12;6;23.5;8;9;Species;Ouriço;Animal;Lytechinus variegatus;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;2;12;6;23.5;8;9;Species;Ouriço;Animal;Lytechinus variegatus;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;3;12;6;23.5;8;9;Species;Ouriço;Animal;Lytechinus variegatus;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;1;12;6;23.5;8;9;Species;Ouriço;Animal;Arbacia lixula;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;2;12;6;23.5;8;9;Species;Ouriço;Animal;Arbacia lixula;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;3;12;6;23.5;8;9;Species;Ouriço;Animal;Arbacia lixula;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;1;12;6;23.5;8;9;Species;Ouriço;Animal;Paracentrotus gaimardi;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;2;12;6;23.5;8;9;Species;Ouriço;Animal;Paracentrotus gaimardi;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;3;12;6;23.5;8;9;Species;Ouriço;Animal;Paracentrotus gaimardi;0;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;1;12;6;23.5;8;9;Species;Ouriço;Animal;Echinometra luchunter;55;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;2;12;6;23.5;8;9;Species;Ouriço;Animal;Echinometra luchunter;76;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;3;12;6;23.5;8;9;Species;Ouriço;Animal;Echinometra luchunter;64;20m x 2m;40
B;DE;-27.27171;-48.33171;WGS84;Topo;11/03/2020;M;Rebio Arvoredo;Costão Rochoso;1;12;6;23.5;8;9;Species;Estrela;Animal;Echinaster brasiliensis;1;20m x 2m;40
