data_type,site_code,site,lat_dd,lon_dd,datum,precision,data_collection,date,day,month,year,shift,position,habitat,trans_n,sampleID,depth_max_m,depth_min_m,wtr_temp_c,visi_vert_m,visi_hor_m,taxon,group,cat_tax,distri_status,kingdom,phylum,class,order,family,AphiaID,abund,sample_config,area_m2,obs
B,DE,ilha_deserta,-27.27171,-48.33171,WGS84,Topo,Vitor_Picolotto-Thiago_Silveira,11/03/2020,11,3,2020,morning,Rebio_Arvoredo,rocky_shore,1,DE_T1_20200311,12,6,23.5,8,9,Eucidaris_tribuloides,Ouriço,Species,NA,Animalia,Echinodermata,Echinoidea,Cidaroida,Cidaridae,396741,0,20m_x_2m,40,NA
B,DE,ilha_deserta,-27.27171,-48.33171,WGS84,Topo,Vitor_Picolotto-Thiago_Silveira,11/03/2020,11,3,2020,morning,Rebio_Arvoredo,rocky_shore,2,DE_T2_20200311,12,6,23.5,8,9,Eucidaris_tribuloides,Ouriço,Species,NA,Animalia,Echinodermata,Echinoidea,Cidaroida,Cidaridae,396741,2,20m_x_2m,40,NA
B,DE,ilha_deserta,-27.27171,-48.33171,WGS84,Topo,Vitor_Picolotto-Thiago_Silveira,11/03/2020,11,3,2020,morning,Rebio_Arvoredo,rocky_shore,3,DE_T3_20200311,12,6,23.5,8,9,Eucidaris_tribuloides,Ouriço,Species,NA,Animalia,Echinodermata,Echinoidea,Cidaroida,Cidaridae,396741,1,20m_x_2m,40,NA
B,DE,ilha_deserta,-27.27171,-48.33171,WGS84,Topo,Vitor_Picolotto-Thiago_Silveira,11/03/2020,11,3,2020,morning,Rebio_Arvoredo,rocky_shore,1,DE_T1_20200311,12,6,23.5,8,9,Lytechinus_variegatus,Ouriço,Species,NA,Animalia,Echinodermata,Echinoidea,Camarodonta,Toxopneustidae,367850,0,20m_x_2m,40,NA
B,DE,ilha_deserta,-27.27171,-48.33171,WGS84,Topo,Vitor_Picolotto-Thiago_Silveira,11/03/2020,11,3,2020,morning,Rebio_Arvoredo,rocky_shore,2,DE_T2_20200311,12,6,23.5,8,9,Lytechinus_variegatus,Ouriço,Species,NA,Animalia,Echinodermata,Echinoidea,Camarodonta,Toxopneustidae,367850,0,20m_x_2m,40,NA
B,DE,ilha_deserta,-27.27171,-48.33171,WGS84,Topo,Vitor_Picolotto-Thiago_Silveira,11/03/2020,11,3,2020,morning,Rebio_Arvoredo,rocky_shore,3,DE_T3_20200311,12,6,23.5,8,9,Lytechinus_variegatus,Ouriço,Species,NA,Animalia,Echinodermata,Echinoidea,Camarodonta,Toxopneustidae,367850,0,20m_x_2m,40,NA
B,DE,ilha_deserta,-27.27171,-48.33171,WGS84,Topo,Vitor_Picolotto-Thiago_Silveira,11/03/2020,11,3,2020,morning,Rebio_Arvoredo,rocky_shore,1,DE_T1_20200311,12,6,23.5,8,9,Arbacia_lixula,Ouriço,Species,NA,Animalia,Echinodermata,Echinoidea,Arbacioidea,Arbaciidae,124249,0,20m_x_2m,40,NA
B,DE,ilha_deserta,-27.27171,-48.33171,WGS84,Topo,Vitor_Picolotto-Thiago_Silveira,11/03/2020,11,3,2020,morning,Rebio_Arvoredo,rocky_shore,2,DE_T2_20200311,12,6,23.5,8,9,Arbacia_lixula,Ouriço,Species,NA,Animalia,Echinodermata,Echinoidea,Arbacioidea,Arbaciidae,124249,0,20m_x_2m,40,NA
B,DE,ilha_deserta,-27.27171,-48.33171,WGS84,Topo,Vitor_Picolotto-Thiago_Silveira,11/03/2020,11,3,2020,morning,Rebio_Arvoredo,rocky_shore,3,DE_T3_20200311,12,6,23.5,8,9,Arbacia_lixula,Ouriço,Species,NA,Animalia,Echinodermata,Echinoidea,Arbacioidea,Arbaciidae,124249,0,20m_x_2m,40,NA
B,DE,ilha_deserta,-27.27171,-48.33171,WGS84,Topo,Vitor_Picolotto-Thiago_Silveira,11/03/2020,11,3,2020,morning,Rebio_Arvoredo,rocky_shore,1,DE_T1_20200311,12,6,23.5,8,9,Paracentrotus_gaimardi,Ouriço,Species,NA,Animalia,Echinodermata,Echinoidea,Camarodonta,Parechinidae,513432,0,20m_x_2m,40,NA
