data_type;site;lat_dd;lon_dd;datum;precision;data_collection;date;day;month;year;position;habitat;trans_n;sampleID;temp_c;depth_min;depth_max;visi_vert;visi_hor;point;subs_cover;roughness;obs
B;DE;-27.27171;-48.36523;WGS84;TOPO;Vitor_Picolotto-Thiago_Silveira;43901;11;03;2020;Rebio Arvoredo;rocky_shore;1;DE_T1_20200311;23.5;6;12;8;9;p0;macroalga;1;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;Vitor_Picolotto-Thiago_Silveira;43901;11;03;2020;Rebio Arvoredo;rocky_shore;1;DE_T1_20200311;23.5;6;12;8;9;p0.5;zoantideo;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;Vitor_Picolotto-Thiago_Silveira;43901;11;03;2020;Rebio Arvoredo;rocky_shore;1;DE_T1_20200311;23.5;6;12;8;9;p1;turf;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;Vitor_Picolotto-Thiago_Silveira;43901;11;03;2020;Rebio Arvoredo;rocky_shore;1;DE_T1_20200311;23.5;6;12;8;9;p1.5;turf;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;Vitor_Picolotto-Thiago_Silveira;43901;11;03;2020;Rebio Arvoredo;rocky_shore;1;DE_T1_20200311;23.5;6;12;8;9;p2;alga_calcaria_crostosa;1;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;Vitor_Picolotto-Thiago_Silveira;43901;11;03;2020;Rebio Arvoredo;rocky_shore;1;DE_T1_20200311;23.5;6;12;8;9;p2.5;zoantideo;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;Vitor_Picolotto-Thiago_Silveira;43901;11;03;2020;Rebio Arvoredo;rocky_shore;1;DE_T1_20200311;23.5;6;12;8;9;p3;zoantideo;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;Vitor_Picolotto-Thiago_Silveira;43901;11;03;2020;Rebio Arvoredo;rocky_shore;1;DE_T1_20200311;23.5;6;12;8;9;p3.5;zoantideo;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;Vitor_Picolotto-Thiago_Silveira;43901;11;03;2020;Rebio Arvoredo;rocky_shore;1;DE_T1_20200311;23.5;6;12;8;9;p4;zoantideo;2;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;Vitor_Picolotto-Thiago_Silveira;43901;11;03;2020;Rebio Arvoredo;rocky_shore;1;DE_T1_20200311;23.5;6;12;8;9;p4.5;alga_calcaria_crostosa;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;Vitor_Picolotto-Thiago_Silveira;43901;11;03;2020;Rebio Arvoredo;rocky_shore;1;DE_T1_20200311;23.5;6;12;8;9;p5;alga_calcaria_crostosa;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;Vitor_Picolotto-Thiago_Silveira;43901;11;03;2020;Rebio Arvoredo;rocky_shore;1;DE_T1_20200311;23.5;6;12;8;9;p5.5;turf;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;Vitor_Picolotto-Thiago_Silveira;43901;11;03;2020;Rebio Arvoredo;rocky_shore;1;DE_T1_20200311;23.5;6;12;8;9;p6;turf;1;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;Vitor_Picolotto-Thiago_Silveira;43901;11;03;2020;Rebio Arvoredo;rocky_shore;1;DE_T1_20200311;23.5;6;12;8;9;p6.5;turf;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;Vitor_Picolotto-Thiago_Silveira;43901;11;03;2020;Rebio Arvoredo;rocky_shore;1;DE_T1_20200311;23.5;6;12;8;9;p7;turf;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;Vitor_Picolotto-Thiago_Silveira;43901;11;03;2020;Rebio Arvoredo;rocky_shore;1;DE_T1_20200311;23.5;6;12;8;9;p7.5;alga_calcaria_crostosa;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;Vitor_Picolotto-Thiago_Silveira;43901;11;03;2020;Rebio Arvoredo;rocky_shore;1;DE_T1_20200311;23.5;6;12;8;9;p8;alga_calcaria_crostosa;1;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;Vitor_Picolotto-Thiago_Silveira;43901;11;03;2020;Rebio Arvoredo;rocky_shore;1;DE_T1_20200311;23.5;6;12;8;9;p8.5;turf;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;Vitor_Picolotto-Thiago_Silveira;43901;11;03;2020;Rebio Arvoredo;rocky_shore;1;DE_T1_20200311;23.5;6;12;8;9;p9;turf;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;Vitor_Picolotto-Thiago_Silveira;43901;11;03;2020;Rebio Arvoredo;rocky_shore;1;DE_T1_20200311;23.5;6;12;8;9;p9.5;turf;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;Vitor_Picolotto-Thiago_Silveira;43901;11;03;2020;Rebio Arvoredo;rocky_shore;1;DE_T1_20200311;23.5;6;12;8;9;p10;zoantideo;2;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;Vitor_Picolotto-Thiago_Silveira;43901;11;03;2020;Rebio Arvoredo;rocky_shore;1;DE_T1_20200311;23.5;6;12;8;9;p10.5;zoantideo;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;Vitor_Picolotto-Thiago_Silveira;43901;11;03;2020;Rebio Arvoredo;rocky_shore;1;DE_T1_20200311;23.5;6;12;8;9;p11;zoantideo;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;Vitor_Picolotto-Thiago_Silveira;43901;11;03;2020;Rebio Arvoredo;rocky_shore;1;DE_T1_20200311;23.5;6;12;8;9;p11.5;alga_calcaria_crostosa;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;Vitor_Picolotto-Thiago_Silveira;43901;11;03;2020;Rebio Arvoredo;rocky_shore;1;DE_T1_20200311;23.5;6;12;8;9;p12;alga_calcaria_crostosa;1;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;Vitor_Picolotto-Thiago_Silveira;43901;11;03;2020;Rebio Arvoredo;rocky_shore;1;DE_T1_20200311;23.5;6;12;8;9;p12.5;zoantideo;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;Vitor_Picolotto-Thiago_Silveira;43901;11;03;2020;Rebio Arvoredo;rocky_shore;1;DE_T1_20200311;23.5;6;12;8;9;p13;zoantideo;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;Vitor_Picolotto-Thiago_Silveira;43901;11;03;2020;Rebio Arvoredo;rocky_shore;1;DE_T1_20200311;23.5;6;12;8;9;p13.5;zoantideo;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;Vitor_Picolotto-Thiago_Silveira;43901;11;03;2020;Rebio Arvoredo;rocky_shore;1;DE_T1_20200311;23.5;6;12;8;9;p14;turf;1;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;Vitor_Picolotto-Thiago_Silveira;43901;11;03;2020;Rebio Arvoredo;rocky_shore;1;DE_T1_20200311;23.5;6;12;8;9;p14.5;turf;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;Vitor_Picolotto-Thiago_Silveira;43901;11;03;2020;Rebio Arvoredo;rocky_shore;1;DE_T1_20200311;23.5;6;12;8;9;p15;briozoario_incrustante;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;Vitor_Picolotto-Thiago_Silveira;43901;11;03;2020;Rebio Arvoredo;rocky_shore;1;DE_T1_20200311;23.5;6;12;8;9;p15.5;alga_calcaria_crostosa;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;Vitor_Picolotto-Thiago_Silveira;43901;11;03;2020;Rebio Arvoredo;rocky_shore;1;DE_T1_20200311;23.5;6;12;8;9;p16;turf;1;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;Vitor_Picolotto-Thiago_Silveira;43901;11;03;2020;Rebio Arvoredo;rocky_shore;1;DE_T1_20200311;23.5;6;12;8;9;p16.5;alga_calcaria_crostosa;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;Vitor_Picolotto-Thiago_Silveira;43901;11;03;2020;Rebio Arvoredo;rocky_shore;1;DE_T1_20200311;23.5;6;12;8;9;p17;alga_calcaria_crostosa;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;Vitor_Picolotto-Thiago_Silveira;43901;11;03;2020;Rebio Arvoredo;rocky_shore;1;DE_T1_20200311;23.5;6;12;8;9;p17.5;alga_calcaria_crostosa;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;Vitor_Picolotto-Thiago_Silveira;43901;11;03;2020;Rebio Arvoredo;rocky_shore;1;DE_T1_20200311;23.5;6;12;8;9;p18;turf;1;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;Vitor_Picolotto-Thiago_Silveira;43901;11;03;2020;Rebio Arvoredo;rocky_shore;1;DE_T1_20200311;23.5;6;12;8;9;p18.5;turf;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;Vitor_Picolotto-Thiago_Silveira;43901;11;03;2020;Rebio Arvoredo;rocky_shore;1;DE_T1_20200311;23.5;6;12;8;9;p19;turf;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;Vitor_Picolotto-Thiago_Silveira;43901;11;03;2020;Rebio Arvoredo;rocky_shore;1;DE_T1_20200311;23.5;6;12;8;9;p19.5;gorgonia;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;Vitor_Picolotto-Thiago_Silveira;43901;11;03;2020;Rebio Arvoredo;rocky_shore;2;DE_T2_20200311;23.5;6;12;8;9;p0;alga_calcaria_crostosa;1;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;Vitor_Picolotto-Thiago_Silveira;43901;11;03;2020;Rebio Arvoredo;rocky_shore;2;DE_T2_20200311;23.5;6;12;8;9;p0.5;turf;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;Vitor_Picolotto-Thiago_Silveira;43901;11;03;2020;Rebio Arvoredo;rocky_shore;2;DE_T2_20200311;23.5;6;12;8;9;p1;turf;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;Vitor_Picolotto-Thiago_Silveira;43901;11;03;2020;Rebio Arvoredo;rocky_shore;2;DE_T2_20200311;23.5;6;12;8;9;p1.5;turf;NA;NA
B;DE;-27.27171;-48.36523;WGS84;TOPO;Vitor_Picolotto-Thiago_Silveira;43901;11;03;2020;Rebio Arvoredo;rocky_shore;2;DE_T2_20200311;23.5;6;12;8;9;p2;zoantideo;1;NA
